Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
,QuickSight - Reader,,,,57.50806359599999,60.00000048000002,59.83870871999999,60.00000048000001,59.99999903999999,61.479837725999985,59.999998464000015,59.99999903999999,60.00000048000003,7.4193547199999985,546.2459627459999
,Route 53 - Health Check,0,0,0,0,0.0104166667,0.7500000004,0.7249999999999999,0.7500000004,0.7500000004000001,0.7500000003999998,0.7500000004,0.7499999999999999,0.0967741936,5.3321908623
,Route 53 - Hosted Zone,14.299999999999999,14.299999999999999,14.299999999999999,14.299999999999999,13.999999999999998,13.7,13.7,13.6,13.899999999999999,14.4,14.599999999999998,14.599999999999998,14.6,184.29999999999998
,Route 53 - Query,0.6621144000000001,0.8024195999999999,0.4966168,0.5932508,0.5092504,0.5058144000000001,0.4823228,0.5435864,0.5418008,0.5166216,0.5635800000000002,0.5525872000000001,0.0718624,6.841827599999999
,Route 53 - Resolver,1394.7813105884,1349.6658930925,1394.8328489220999,1394.7724317344,1349.794751252,1394.8987504866,1349.8766025031998,1394.9653981964,1394.7975211471,1259.9365277078,1394.9110815968,1349.9249696179,172.4647600014,16595.6228468466
,SageMaker - Studio Notebook Compute,,,,0.4089924855,4.5193159875,0.509518473,,0.050295916999999996,,,,0.049940208,,5.538063070999999
,Secrets Manager - Secret,37.61706437929999,113.4794676824001,118.46706822700006,119.62525798049992,121.38085785010014,122.5784923879,122.27330666590001,123.63722080519997,124.4444140053,125.36215710109998,127.73877363360002,128.85716392610024,16.031255168599994,1401.4924998130002
,Security Hub - Checks and Events,687.37049,634.93085,635.5585400000001,659.6586400000001,675.0096199999999,623.48869,599.79065,676.64508,671.9188899999999,592.6143000000001,682.68729,644.30284,106.72899999999998,7890.704880000001
,Simple Email Service - Dedicated IP,199.5999999064,199.59999979200003,199.59999990639997,199.59999990639997,199.59999979200003,199.5999999064,198.76833312620002,199.5999999064,197.9903224878,199.5999999168,199.5999999064,199.59999979200003,25.754838697600004,2418.5134930428
,SQS - Data Transfer,0.3569006483,0.35754687850000005,0.3402639583,0.34327384380000003,0.3719942064999999,0.44904074,0.317879017,0.3054854892999999,0.2338242585,0.21359347020000002,0.2336966813,0.3834798083,0.0501232463,3.9571022463000007
